"416","Normale","RUE DE WORMELDANGE","08:00","88867.0236388889, 83577.8229078818","117"
"417","Normale","RUE DE REMICH (MAISON GERSON)","09:30","88428.6160833334, 70526.6393495441","118"
"418","Normale","RUE D'ASSEL (MAISON COMMUNALE)","08:00","90698.8927805555, 68409.1478162093","119"
"419","Normale","81, RUE DE LUXEMBOURG","09:00","76098.65380000044, 89628.50659955118","120"
"421","Normale","9, RUE DU PONT","08:00","104232.64809999993, 96801.06269955264","121"
"422","Normale","23, RUE DU BARRAGE","09:00","104348.33229999998, 96690.51759955399","121"
"424","Normale","RUE PRINCIPALE","11:30","66778.2894171428, 88222.716136693","122"
"426","Normale","55, RUE D'ITZIG","09:00","83468.95760000037, 75558.00339954476","123"
"427","Normale","76, RUE D'ITZIG","09:00","83192.57890000005, 75421.9676995468","123"
"428","Normale","77, RUE PRINCIPALE","11:00","84213.88360000036, 75458.86509954516","123"
"429","Normale","4, SAVELBORN (CHAPELLE)","11:00","86263.4617999997, 97279.6402995535","124"
"430","Normale","4, RUE DE MICHELSHOF (EGLISE)","09:00","93798.81929999961, 94112.07659955249","125"
"431","Normale","WAISTROOSS (ECOLE)","09:30","94164.7081936509, 59709.4555550951","126"
"432","Normale","51, WAISTROOSS (PONT)","09:30","94310.51150000005, 59662.43079953982","126"
"433","Normale","RUE DU VILLAGE","11:00","74436.2832692307, 87138.7805187803","127"
"434","Normale","RUE DE ROLLINGEN (EGLISE)","09:00","80028.6240464286, 90500.9837852653","128"
"435","Normale","RUE D'OETRANGE","10:30","86507.0599685714, 74930.8160795452","129"
"436","Normale","SCHLASSGEWAN","12:00","86449.523164, 75743.0993535454","129"
"438","Normale","RUE DU VILLAGE","09:00","87580.6660363635, 76309.7135927275","130"
"439","Normale","51, ROUTE DU VIN (ANCIENNE ECOLE)","10:30","93663.39960000015, 64122.457299541216","131"
"440","Normale","ROUTE DU VIN (PORT DE PLAISANCE (SAISON))","11:00","93666.9427795918, 64000.5998199491","131"
